id,class
204150,0
204151,1
204152,0
204153,1
204154,0
204155,0
204156,0
204157,0
204158,0
204159,0
204160,1
204161,1
204162,0
204163,1
204164,0
204165,0
204166,0
204167,0
204168,1
204169,0
204170,0
204171,0
204172,1
204173,1
204174,1
204175,0
204176,0
204177,1
204178,1
204179,1
204180,0
204181,1
204182,0
204183,1
204184,1
204185,0
204186,1
204187,1
204188,1
204189,0
204190,0
204191,0
204192,0
204193,1
204194,0
204195,1
204196,1
204197,0
204198,1
204199,1
204200,0
204201,1
204202,1
204203,0
204204,0
204205,1
204206,0
204207,1
204208,1
204209,0
204210,0
204211,1
204212,0
204213,0
204214,0
204215,1
204216,0
204217,1
204218,0
204219,1
204220,0
204221,0
204222,1
204223,0
204224,0
204225,0
204226,0
204227,0
204228,0
204229,0
204230,0
204231,1
204232,0
204233,0
204234,1
204235,1
204236,1
204237,0
204238,1
204239,0
204240,0
204241,0
204242,1
204243,0
204244,1
204245,0
204246,0
204247,1
204248,1
204249,0
204250,1
204251,0
204252,1
204253,0
204254,1
204255,1
204256,0
204257,1
204258,0
204259,1
204260,1
204261,0
204262,0
204263,0
204264,1
204265,0
204266,1
204267,0
204268,1
204269,0
204270,0
204271,0
204272,1
204273,0
204274,1
204275,0
204276,0
204277,1
204278,0
204279,1
204280,0
204281,0
204282,1
204283,0
204284,0
204285,1
204286,0
204287,1
204288,1
204289,1
204290,0
204291,0
204292,0
204293,1
204294,1
204295,1
204296,1
204297,1
204298,1
204299,0
204300,0
204301,0
204302,1
204303,1
204304,0
204305,0
204306,1
204307,1
204308,0
204309,0
204310,0
204311,1
204312,1
204313,1
204314,1
204315,1
204316,1
204317,1
204318,0
204319,1
204320,0
204321,1
204322,0
204323,0
204324,1
204325,1
204326,0
204327,1
204328,1
204329,1
204330,0
204331,1
204332,1
204333,0
204334,0
204335,1
204336,0
204337,0
204338,0
204339,0
204340,0
204341,0
204342,1
204343,1
204344,0
204345,1
204346,0
204347,0
204348,0
204349,0
204350,0
204351,1
204352,1
204353,0
204354,0
204355,0
204356,1
204357,0
204358,0
204359,1
204360,1
204361,0
204362,1
204363,0
204364,0
204365,1
204366,1
204367,1
204368,1
204369,0
204370,0
204371,1
204372,1
204373,1
204374,0
204375,0
204376,1
204377,0
204378,1
204379,0
204380,0
204381,0
204382,1
204383,0
204384,1
204385,0
204386,1
204387,1
204388,0
204389,0
204390,0
204391,0
204392,0
204393,1
204394,0
204395,0
204396,1
204397,0
204398,1
204399,0
204400,1
204401,1
204402,0
204403,0
204404,1
204405,1
204406,1
204407,0
204408,0
204409,0
204410,0
204411,0
204412,0
204413,0
204414,1
204415,1
204416,0
204417,1
204418,1
204419,1
204420,1
204421,1
204422,0
204423,1
204424,1
204425,0
204426,0
204427,1
204428,1
204429,1
204430,0
204431,0
204432,1
204433,0
204434,1
204435,1
204436,1
204437,1
204438,0
204439,0
204440,0
204441,0
204442,1
204443,1
204444,1
204445,0
204446,1
204447,0
204448,0
204449,0
204450,1
204451,0
204452,1
204453,1
204454,0
204455,0
204456,0
204457,0
204458,0
204459,1
204460,1
204461,0
204462,0
204463,1
204464,1
204465,0
204466,0
204467,1
204468,1
204469,0
204470,0
204471,1
204472,1
204473,1
204474,1
204475,0
204476,0
204477,0
204478,0
204479,0
204480,0
204481,1
204482,0
204483,1
204484,1
204485,0
204486,1
204487,1
204488,1
204489,1
204490,1
204491,1
204492,0
204493,1
204494,1
204495,0
204496,0
204497,0
204498,0
204499,1
204500,0
204501,1
204502,0
204503,1
204504,0
204505,0
204506,1
204507,0
204508,1
204509,1
204510,1
204511,1
204512,1
204513,0
204514,0
204515,0
204516,1
204517,1
204518,1
204519,0
204520,1
204521,0
204522,1
204523,0
204524,0
204525,0
204526,1
204527,0
204528,1
204529,0
204530,1
204531,1
204532,1
204533,0
204534,1
204535,1
204536,0
204537,0
204538,1
204539,1
204540,0
204541,1
204542,1
204543,0
204544,0
204545,0
204546,1
204547,1
204548,1
204549,0
204550,0
204551,1
204552,0
204553,0
204554,0
204555,1
204556,0
204557,1
204558,0
204559,0
204560,1
204561,1
204562,1
204563,1
204564,0
204565,0
204566,0
204567,0
204568,0
204569,0
204570,1
204571,1
204572,1
204573,1
204574,1
204575,1
204576,0
204577,0
204578,1
204579,0
204580,1
204581,1
204582,0
204583,0
204584,0
204585,1
204586,0
204587,1
204588,1
204589,1
204590,0
204591,0
204592,1
204593,0
204594,0
204595,1
204596,1
204597,0
204598,0
204599,1
204600,0
204601,1
204602,1
204603,1
204604,1
204605,1
204606,1
204607,1
204608,0
204609,1
204610,1
204611,1
204612,0
204613,0
204614,1
204615,1
204616,0
204617,0
204618,1
204619,1
204620,1
204621,1
204622,1
204623,1
204624,0
204625,1
204626,1
204627,1
204628,1
204629,1
204630,0
204631,1
204632,0
204633,0
204634,1
204635,1
204636,1
204637,1
204638,0
204639,1
204640,1
204641,0
204642,0
204643,1
204644,0
204645,0
204646,1
204647,0
204648,1
204649,1
204650,1
204651,1
204652,1
204653,1
204654,0
204655,0
204656,0
204657,0
204658,1
204659,1
204660,1
204661,1
204662,0
204663,0
204664,1
204665,1
204666,1
204667,0
204668,0
204669,1
204670,1
204671,1
204672,0
204673,0
204674,0
204675,1
204676,1
204677,0
204678,1
204679,1
204680,1
204681,1
204682,1
204683,1
204684,0
204685,0
204686,1
204687,0
204688,0
204689,0
204690,1
204691,1
204692,0
204693,1
204694,0
204695,1
204696,1
204697,0
204698,0
204699,0
204700,1
204701,0
204702,1
204703,1
204704,1
204705,0
204706,0
204707,0
204708,0
204709,1
204710,0
204711,0
204712,1
204713,1
204714,1
204715,1
204716,1
204717,0
204718,1
204719,0
204720,1
204721,0
204722,1
204723,0
204724,0
204725,0
204726,0
204727,1
204728,0
204729,0
204730,1
204731,0
204732,0
204733,0
204734,1
204735,1
204736,0
204737,1
204738,1
204739,0
204740,0
204741,1
204742,1
204743,1
204744,0
204745,1
204746,1
204747,0
204748,0
204749,1
204750,1
204751,1
204752,1
204753,1
204754,1
204755,1
204756,0
204757,0
204758,0
204759,0
204760,0
204761,0
204762,0
204763,1
204764,1
204765,0
204766,1
204767,1
204768,1
204769,1
204770,1
204771,1
204772,1
204773,0
204774,1
204775,0
204776,1
204777,1
204778,1
204779,0
204780,1
204781,0
204782,0
204783,1
204784,1
204785,0
204786,0
204787,1
204788,1
204789,0
204790,1
