id,class
204150,1
204151,1
204152,1
204153,0
204154,1
204155,1
204156,1
204157,0
204158,1
204159,0
204160,0
204161,1
204162,0
204163,0
204164,1
204165,0
204166,0
204167,0
204168,1
204169,1
204170,0
204171,0
204172,1
204173,1
204174,1
204175,0
204176,1
204177,1
204178,0
204179,0
204180,0
204181,0
204182,1
204183,0
204184,0
204185,0
204186,0
204187,1
204188,0
204189,0
204190,1
204191,1
204192,1
204193,1
204194,0
204195,1
204196,1
204197,0
204198,1
204199,0
204200,1
204201,1
204202,0
204203,1
204204,1
204205,0
204206,1
204207,1
204208,1
204209,0
204210,0
204211,0
204212,1
204213,0
204214,0
204215,0
204216,1
204217,0
204218,1
204219,0
204220,0
204221,0
204222,1
204223,1
204224,1
204225,1
204226,1
204227,0
204228,0
204229,1
204230,1
204231,0
204232,1
204233,0
204234,0
204235,1
204236,0
204237,0
204238,1
204239,0
204240,1
204241,0
204242,1
204243,1
204244,1
204245,0
204246,0
204247,1
204248,1
204249,0
204250,0
204251,1
204252,1
204253,1
204254,1
204255,0
204256,1
204257,0
204258,0
204259,0
204260,0
204261,1
204262,0
204263,0
204264,1
204265,0
204266,0
204267,1
204268,1
204269,0
204270,0
204271,1
204272,1
204273,0
204274,0
204275,1
204276,0
204277,1
204278,1
204279,1
204280,1
204281,0
204282,0
204283,0
204284,0
204285,0
204286,0
204287,0
204288,1
204289,1
204290,1
204291,0
204292,1
204293,0
204294,0
204295,0
204296,0
204297,1
204298,1
204299,0
204300,1
204301,1
204302,0
204303,0
204304,0
204305,1
204306,1
204307,1
204308,0
204309,0
204310,1
204311,1
204312,1
204313,0
204314,1
204315,0
204316,0
204317,0
204318,0
204319,0
204320,0
204321,0
204322,0
204323,0
204324,0
204325,0
204326,0
204327,1
204328,1
204329,1
204330,1
204331,1
204332,1
204333,0
204334,1
204335,0
204336,1
204337,1
204338,0
204339,0
204340,1
204341,0
204342,1
204343,0
204344,0
204345,0
204346,0
204347,0
204348,0
204349,1
204350,1
204351,0
204352,0
204353,1
204354,1
204355,1
204356,1
204357,0
204358,0
204359,0
204360,1
204361,0
204362,0
204363,0
204364,1
204365,1
204366,1
204367,0
204368,0
204369,1
204370,0
204371,1
204372,1
204373,1
204374,1
204375,1
204376,0
204377,1
204378,0
204379,0
204380,0
204381,1
204382,0
204383,0
204384,1
204385,1
204386,0
204387,1
204388,1
204389,1
204390,1
204391,1
204392,1
204393,0
204394,0
204395,1
204396,1
204397,0
204398,0
204399,1
204400,1
204401,0
204402,1
204403,0
204404,1
204405,1
204406,0
204407,1
204408,1
204409,0
204410,1
204411,0
204412,0
204413,1
204414,1
204415,0
204416,1
204417,1
204418,0
204419,0
204420,0
204421,0
204422,1
204423,0
204424,1
204425,0
204426,1
204427,1
204428,0
204429,1
204430,0
204431,1
204432,1
204433,1
204434,0
204435,1
204436,0
204437,1
204438,0
204439,1
204440,0
204441,1
204442,1
204443,0
204444,1
204445,1
204446,0
204447,1
204448,0
204449,1
204450,0
204451,1
204452,1
204453,1
204454,1
204455,1
204456,1
204457,1
204458,1
204459,1
204460,1
204461,0
204462,0
204463,1
204464,0
204465,0
204466,1
204467,1
204468,0
204469,1
204470,0
204471,0
204472,0
204473,0
204474,1
204475,0
204476,0
204477,0
204478,0
204479,0
204480,1
204481,0
204482,0
204483,0
204484,1
204485,0
204486,0
204487,1
204488,0
204489,1
204490,0
204491,1
204492,0
204493,0
204494,0
204495,0
204496,0
204497,0
204498,0
204499,0
204500,1
204501,0
204502,1
204503,0
204504,1
204505,0
204506,0
204507,1
204508,0
204509,0
204510,1
204511,1
204512,0
204513,0
204514,1
204515,0
204516,0
204517,1
204518,0
204519,1
204520,0
204521,1
204522,1
204523,0
204524,0
204525,0
204526,0
204527,0
204528,1
204529,1
204530,1
204531,0
204532,0
204533,1
204534,0
204535,0
204536,1
204537,1
204538,1
204539,1
204540,0
204541,0
204542,1
204543,1
204544,1
204545,1
204546,0
204547,0
204548,1
204549,0
204550,1
204551,0
204552,1
204553,0
204554,1
204555,0
204556,0
204557,1
204558,0
204559,1
204560,1
204561,0
204562,1
204563,0
204564,0
204565,0
204566,1
204567,0
204568,1
204569,1
204570,0
204571,1
204572,1
204573,0
204574,1
204575,1
204576,0
204577,1
204578,0
204579,0
204580,0
204581,0
204582,0
204583,1
204584,0
204585,0
204586,0
204587,0
204588,1
204589,1
204590,1
204591,0
204592,1
204593,0
204594,1
204595,1
204596,1
204597,0
204598,1
204599,1
204600,1
204601,0
204602,1
204603,1
204604,1
204605,0
204606,0
204607,0
204608,0
204609,0
204610,1
204611,0
204612,1
204613,1
204614,1
204615,0
204616,1
204617,0
204618,1
204619,0
204620,1
204621,0
204622,1
204623,0
